"","CNT","CNTSCHID","CNTSTUID","STRATUM","MeanCrtScore","MeanMthScore","MeanReadScore","MeanSciScore"
"1","Philippines",60800047,60800001,"PHL - stratum 11: REGION 10",27.22,470.4711,452.175,435.1174
"2","Philippines",60800131,60800002,"PHL - stratum 04: REGION 4A",18.82,350.7806,335.021,383.0901
"3","Philippines",60800080,60800003,"PHL - stratum 14: NCR",47.17,494.0589,508.9489,555.1994
"4","Philippines",60800058,60800004,"PHL - stratum 03: REGION 3",2.02,280.513,250.5135,230.3145
"5","Philippines",60800179,60800005,"PHL - stratum 16: CARAGA",14.46,432.0604,417.307,425.3583
"6","Philippines",60800112,60800006,"PHL - stratum 12: REGION 11",12.44,322.3922,316.7223,338.8065
"7","Philippines",60800071,60800007,"PHL - stratum 09: REGION 8",5.72,294.9586,278.8413,346.0025
"8","Philippines",60800011,60800008,"PHL - stratum 08: REGION 7",36.18,479.2127,494.2689,470.1939
"9","Philippines",60800052,60800009,"PHL - stratum 12: REGION 11",23.09,416.8157,450.9359,392.2486
"10","Philippines",60800100,60800010,"PHL - stratum 07: REGION 6",1.73,329.2704,256.1005,325.5912
"11","Philippines",60800145,60800011,"PHL - stratum 13: REGION 12",6.76,324.2013,286.0358,307.1207
"12","Philippines",60800171,60800012,"PHL - stratum 03: REGION 3",7.33,359.7549,328.641,375.5258
"13","Philippines",60800050,60800013,"PHL - stratum 14: NCR",6.97,321.0191,319.2297,321.277
"14","Philippines",60800036,60800014,"PHL - stratum 04: REGION 4A",13.42,358.6269,318.3699,328.7943
"15","Philippines",60800076,60800015,"PHL - stratum 08: REGION 7",16.42,342.5443,340.5238,329.7648
"16","Philippines",60800101,60800016,"PHL - stratum 06: REGION 5",1.24,277.0623,259.3507,234.701
"17","Philippines",60800006,60800018,"PHL - stratum 11: REGION 10",6.57,303.49,290.6749,296.1871
"18","Philippines",60800087,60800019,"PHL - stratum 09: REGION 8",3.3,318.5163,261.2501,316.5069
"19","Philippines",60800182,60800020,"PHL - stratum 06: REGION 5",12.91,346.0232,317.8211,338.8712
"20","Philippines",60800069,60800021,"PHL - stratum 08: REGION 7",3.69,282.4006,298.4683,285.668
"21","Philippines",60800015,60800022,"PHL - stratum 08: REGION 7",4.06,259.6665,223.5375,225.6228
"22","Philippines",60800160,60800023,"PHL - stratum 02: REGION 2",23.52,406.7946,417.5635,374.0364
"23","Philippines",60800154,60800024,"PHL - stratum 07: REGION 6",20.66,372.951,409.8817,379.8677
"24","Philippines",60800099,60800025,"PHL - stratum 03: REGION 3",45.04,543.6373,575.6242,552.8322
"25","Philippines",60800033,60800026,"PHL - stratum 14: NCR",45.91,403.0495,429.3798,384.2326
"26","Philippines",60800139,60800027,"PHL - stratum 08: REGION 7",22.28,393.7264,453.4176,451.4238
"27","Philippines",60800088,60800028,"PHL - stratum 08: REGION 7",13,334.3514,321.357,332.2264
"28","Philippines",60800087,60800029,"PHL - stratum 09: REGION 8",3.14,303.9249,266.6853,280.438
"29","Philippines",60800069,60800030,"PHL - stratum 08: REGION 7",12.99,414.2962,409.5796,432.7232
"30","Philippines",60800026,60800031,"PHL - stratum 03: REGION 3",18.26,346.3111,372.3334,361.0826
"31","Philippines",60800097,60800032,"PHL - stratum 15: CAR",10.51,331.1481,263.5399,360.8652
"32","Philippines",60800064,60800033,"PHL - stratum 04: REGION 4A",25.62,431.2148,471.9895,428.0903
"33","Philippines",60800113,60800034,"PHL - stratum 04: REGION 4A",38.02,416.5757,474.1415,459.451
"34","Philippines",60800054,60800035,"PHL - stratum 04: REGION 4A",33.01,506.4552,520.4905,499.9121
"35","Philippines",60800018,60800036,"PHL - stratum 14: NCR",41.43,497.5544,562.7362,592.3738
"36","Philippines",60800019,60800037,"PHL - stratum 16: CARAGA",28.22,414.9913,427.9534,428.0153
"37","Philippines",60800077,60800038,"PHL - stratum 11: REGION 10",23.4,402.8656,425.9712,434.8641
"38","Philippines",60800184,60800039,"PHL - stratum 14: NCR",14.62,384.1589,393.7302,349.9336
"39","Philippines",60800022,60800040,"PHL - stratum 04: REGION 4A",3.31,300.5595,277.3043,309.8181
"40","Philippines",60800078,60800041,"PHL - stratum 04: REGION 4A",18.72,398.3799,393.8423,377.969
"41","Philippines",60800108,60800042,"PHL - stratum 04: REGION 4A",25.78,315.7099,317.694,297.8272
"42","Philippines",60800001,60800044,"PHL - stratum 11: REGION 10",2.3,338.4438,303.0514,313.9631
"43","Philippines",60800150,60800045,"PHL - stratum 05: REGION 4B",1.95,296.5961,248.1607,302.2575
"44","Philippines",60800061,60800046,"PHL - stratum 01: REGION 1",17.84,379.7681,371.2843,423.3359
"45","Philippines",60800127,60800047,"PHL - stratum 01: REGION 1",21.72,355.7709,375.8042,326.4383
"46","Philippines",60800160,60800048,"PHL - stratum 02: REGION 2",0.47,337.4177,243.2185,278.7547
"47","Philippines",60800047,60800049,"PHL - stratum 11: REGION 10",9.08,369.8836,392.2199,374.7901
"48","Philippines",60800008,60800050,"PHL - stratum 06: REGION 5",2.09,250.9028,265.587,297.7759
"49","Philippines",60800054,60800051,"PHL - stratum 04: REGION 4A",6.49,304.5665,267.4078,305.3705
"50","Philippines",60800184,60800052,"PHL - stratum 14: NCR",8.38,340.3792,336.7436,354.1893
"51","Philippines",60800056,60800053,"PHL - stratum 07: REGION 6",0.63,263.8758,259.0498,278.2273
"52","Philippines",60800180,60800054,"PHL - stratum 03: REGION 3",1.6,259.3422,216.24,234.6472
"53","Philippines",60800052,60800055,"PHL - stratum 12: REGION 11",4.26,335.3203,270.1824,325.0711
"54","Philippines",60800031,60800056,"PHL - stratum 14: NCR",11.21,406.218,374.4622,344.3269
"55","Philippines",60800062,60800057,"PHL - stratum 04: REGION 4A",6.41,321.0451,270.4163,277.4655
"56","Philippines",60800068,60800058,"PHL - stratum 04: REGION 4A",21.49,416.0836,448.8359,424.9509
"57","Philippines",60800167,60800059,"PHL - stratum 11: REGION 10",10.69,349.5507,275.7708,336.2897
"58","Philippines",60800142,60800060,"PHL - stratum 05: REGION 4B",14.21,359.8349,312.8173,365.0582
"59","Philippines",60800052,60800061,"PHL - stratum 12: REGION 11",23.75,408.9056,415.1681,405.3524
"60","Philippines",60800154,60800062,"PHL - stratum 07: REGION 6",18.25,356.8173,400.709,349.616
"61","Philippines",60800170,60800063,"PHL - stratum 14: NCR",5.89,286.1326,237.3594,289.0961
"62","Philippines",60800109,60800064,"PHL - stratum 09: REGION 8",1.27,290.0943,236.0914,280.8276
"63","Philippines",60800119,60800065,"PHL - stratum 15: CAR",5.03,289.0167,283.5465,307.422
"64","Philippines",60800015,60800066,"PHL - stratum 08: REGION 7",2.65,299.3817,299.3282,320.6872
"65","Philippines",60800049,60800067,"PHL - stratum 03: REGION 3",27.46,391.8634,415.6413,421.1972
"66","Philippines",60800040,60800068,"PHL - stratum 07: REGION 6",6.31,343.7306,327.5865,378.9891
"67","Philippines",60800170,60800069,"PHL - stratum 14: NCR",23.16,425.122,359.4579,445.7216
"68","Philippines",60800002,60800070,"PHL - stratum 03: REGION 3",18.05,344.6776,344.5438,331.3972
"69","Philippines",60800062,60800072,"PHL - stratum 04: REGION 4A",8.1,341.6112,297.3819,353.8333
"70","Philippines",60800171,60800073,"PHL - stratum 03: REGION 3",13.33,384.6113,385.7212,445.6647
"71","Philippines",60800079,60800074,"PHL - stratum 04: REGION 4A",1.88,306.4176,278.4601,271.382
"72","Philippines",60800087,60800075,"PHL - stratum 09: REGION 8",20.28,297.9061,319.8595,297.0881
"73","Philippines",60800001,60800076,"PHL - stratum 11: REGION 10",0.91,258.1634,246.133,213.458
"74","Philippines",60800006,60800077,"PHL - stratum 11: REGION 10",14.68,333.1337,323.9759,349.5137
"75","Philippines",60800022,60800078,"PHL - stratum 04: REGION 4A",7.51,304.1881,270.714,323.2955
"76","Philippines",60800026,60800079,"PHL - stratum 03: REGION 3",21.62,356.4874,355.8493,323.3566
"77","Philippines",60800155,60800080,"PHL - stratum 02: REGION 2",6.97,344.8496,343.8858,318.4086
"78","Philippines",60800046,60800081,"PHL - stratum 06: REGION 5",1.05,295.2378,249.7831,266.3902
"79","Philippines",60800145,60800082,"PHL - stratum 13: REGION 12",3.3,304.802,298.6235,334.4163
"80","Philippines",60800054,60800083,"PHL - stratum 04: REGION 4A",36.99,456.5915,462.1332,465.4632
"81","Philippines",60800023,60800084,"PHL - stratum 04: REGION 4A",28.78,447.7284,461.0601,437.5345
"82","Philippines",60800014,60800085,"PHL - stratum 04: REGION 4A",4.99,334.6376,282.8051,316.8277
"83","Philippines",60800018,60800086,"PHL - stratum 14: NCR",40.6,460.5596,525.7908,535.8934
"84","Philippines",60800129,60800087,"PHL - stratum 04: REGION 4A",37.99,374.8253,339.756,375.799
"85","Philippines",60800184,60800088,"PHL - stratum 14: NCR",22.75,383.0758,388.3257,398.6651
"86","Philippines",60800038,60800090,"PHL - stratum 14: NCR",25.94,431.3199,448.0531,407.5157
"87","Philippines",60800137,60800091,"PHL - stratum 03: REGION 3",36.53,403.2406,399.4491,430.6846
"88","Philippines",60800156,60800092,"PHL - stratum 16: CARAGA",27.5,386.7866,395.5961,397.2696
"89","Philippines",60800013,60800093,"PHL - stratum 11: REGION 10",3.13,285.7027,241.9199,263.2837
"90","Philippines",60800116,60800094,"PHL - stratum 11: REGION 10",3.56,313.1743,285.2572,288.7
"91","Philippines",60800141,60800095,"PHL - stratum 05: REGION 4B",10.04,366.7624,336.1339,362.4905
"92","Philippines",60800015,60800097,"PHL - stratum 08: REGION 7",17.03,345.7607,392.5216,316.0777
"93","Philippines",60800020,60800098,"PHL - stratum 12: REGION 11",15.89,343.9732,332.6852,399.1501
"94","Philippines",60800129,60800099,"PHL - stratum 04: REGION 4A",4.04,299.8283,288.6329,312.9089
"95","Philippines",60800009,60800100,"PHL - stratum 06: REGION 5",6.01,330.8822,341.3376,316.0917
"96","Philippines",60800058,60800101,"PHL - stratum 03: REGION 3",14.55,408.0772,419.3821,412.3667
"97","Philippines",60800024,60800102,"PHL - stratum 01: REGION 1",11.84,337.1113,324.7946,314.8393
"98","Philippines",60800154,60800103,"PHL - stratum 07: REGION 6",2.44,293.8091,248.1988,247.5756
"99","Philippines",60800086,60800104,"PHL - stratum 01: REGION 1",13.94,388.195,416.6499,402.0251
"100","Philippines",60800161,60800105,"PHL - stratum 09: REGION 8",14.75,349.7024,335.0165,341.4023
"101","Philippines",60800022,60800106,"PHL - stratum 04: REGION 4A",13.95,337.8457,357.1775,318.8159
"102","Philippines",60800130,60800107,"PHL - stratum 06: REGION 5",0.89,250.1767,232.4927,204.9835
"103","Philippines",60800147,60800108,"PHL - stratum 01: REGION 1",8.98,362.1457,340.5003,388.465
"104","Philippines",60800096,60800110,"PHL - stratum 05: REGION 4B",15.27,405.4388,383.0377,442.4761
"105","Philippines",60800152,60800111,"PHL - stratum 16: CARAGA",3.73,371.3393,352.6851,338.0801
"106","Philippines",60800058,60800112,"PHL - stratum 03: REGION 3",4.87,316.0486,268.9168,277.3067
"107","Philippines",60800100,60800113,"PHL - stratum 07: REGION 6",5.92,333.8321,329.3649,336.3346
"108","Philippines",60800090,60800114,"PHL - stratum 03: REGION 3",9.04,380.1913,416.4683,387.8393
"109","Philippines",60800156,60800115,"PHL - stratum 16: CARAGA",4.25,308.0664,294.1094,329.2788
"110","Philippines",60800063,60800116,"PHL - stratum 01: REGION 1",5.07,311.0327,264.8268,281.2507
"111","Philippines",60800065,60800118,"PHL - stratum 12: REGION 11",16.32,396.8317,380.5624,423.0449
"112","Philippines",60800157,60800119,"PHL - stratum 14: NCR",25.2,393.7162,397.9899,397.8258
"113","Philippines",60800011,60800120,"PHL - stratum 08: REGION 7",16.9,355.4429,335.8856,395.4496
"114","Philippines",60800054,60800121,"PHL - stratum 04: REGION 4A",2.42,288.5732,273.1588,327.4195
"115","Philippines",60800046,60800122,"PHL - stratum 06: REGION 5",1.54,257.409,208.1185,265.7553
"116","Philippines",60800149,60800123,"PHL - stratum 04: REGION 4A",3.43,315.5746,348.066,336.4883
"117","Philippines",60800030,60800125,"PHL - stratum 08: REGION 7",5.38,363.5761,359.8719,378.9843
"118","Philippines",60800173,60800126,"PHL - stratum 14: NCR",21.57,375.3955,375.0225,377.132
"119","Philippines",60800058,60800127,"PHL - stratum 03: REGION 3",15,334.6898,329.6986,346.9743
"120","Philippines",60800074,60800128,"PHL - stratum 06: REGION 5",6.13,390.0576,354.0999,342.6544
"121","Philippines",60800062,60800129,"PHL - stratum 04: REGION 4A",10.42,337.8635,307.8159,325.7705
"122","Philippines",60800099,60800130,"PHL - stratum 03: REGION 3",37.67,429.4144,467.1354,449.3208
"123","Philippines",60800139,60800131,"PHL - stratum 08: REGION 7",26.59,417.5999,404.7379,424.3158
"124","Philippines",60800073,60800132,"PHL - stratum 14: NCR",34.58,430.4454,451.836,447.6218
"125","Philippines",60800044,60800133,"PHL - stratum 08: REGION 7",3.56,284.9735,261.4611,239.4819
"126","Philippines",60800089,60800134,"PHL - stratum 01: REGION 1",12.75,351.8316,306.7718,327.1085
"127","Philippines",60800081,60800135,"PHL - stratum 05: REGION 4B",4.46,368.9656,325.0312,362.4029
"128","Philippines",60800106,60800136,"PHL - stratum 06: REGION 5",2.34,285.1117,303.0143,305.7117
"129","Philippines",60800007,60800137,"PHL - stratum 13: REGION 12",21.2,389.5697,425.3479,407.0494
"130","Philippines",60800030,60800138,"PHL - stratum 08: REGION 7",4.53,320.6249,296.6076,320.7532
"131","Philippines",60800005,60800139,"PHL - stratum 08: REGION 7",37.65,463.3185,506.6322,531.5415
"132","Philippines",60800160,60800140,"PHL - stratum 02: REGION 2",15.1,400.3605,384.5368,364.8851
"133","Philippines",60800178,60800141,"PHL - stratum 07: REGION 6",6.03,350.8547,296.6889,315.2021
"134","Philippines",60800153,60800142,"PHL - stratum 03: REGION 3",20.8,325.322,347.8287,318.7933
"135","Philippines",60800008,60800143,"PHL - stratum 06: REGION 5",14.65,386.0492,386.9751,371.9055
"136","Philippines",60800042,60800144,"PHL - stratum 10: REGION 9",1.85,276.3013,219.2251,286.1137
"137","Philippines",60800129,60800146,"PHL - stratum 04: REGION 4A",11.55,376.8583,332.9135,393.1072
"138","Philippines",60800187,60800147,"PHL - stratum 04: REGION 4A",6.04,323.8213,315.5852,335.9686
"139","Philippines",60800057,60800148,"PHL - stratum 01: REGION 1",8.65,346.8028,302.5762,319.57
"140","Philippines",60800068,60800149,"PHL - stratum 04: REGION 4A",1.96,256.166,227.5004,339.5453
"141","Philippines",60800039,60800150,"PHL - stratum 03: REGION 3",4.28,294.699,257.3224,259.9929
"142","Philippines",60800158,60800151,"PHL - stratum 10: REGION 9",20.78,387.0264,436.9462,403.8164
"143","Philippines",60800103,60800152,"PHL - stratum 12: REGION 11",2.42,311.0828,246.5048,304.9134
"144","Philippines",60800032,60800153,"PHL - stratum 03: REGION 3",37.75,425.9917,460.6992,461.1751
"145","Philippines",60800109,60800154,"PHL - stratum 09: REGION 8",29.87,401.0098,376.7008,389.2181
"146","Philippines",60800038,60800155,"PHL - stratum 14: NCR",28.86,429.4212,459.0618,419.4342
"147","Philippines",60800146,60800156,"PHL - stratum 04: REGION 4A",2.61,308.0019,240.5749,298.9295
"148","Philippines",60800045,60800157,"PHL - stratum 03: REGION 3",6.03,314.8098,258.7438,296.2105
"149","Philippines",60800175,60800159,"PHL - stratum 14: NCR",10.67,362.732,373.7178,327.9771
"150","Philippines",60800148,60800160,"PHL - stratum 08: REGION 7",19.58,382.1975,425.5966,368.3665
"151","Philippines",60800091,60800161,"PHL - stratum 16: CARAGA",1.57,282.8491,215.5239,262.0132
"152","Philippines",60800052,60800162,"PHL - stratum 12: REGION 11",24.27,387.244,433.7347,373.9408
"153","Philippines",60800050,60800163,"PHL - stratum 14: NCR",14.36,374.5014,364.5007,375.3717
"154","Philippines",60800005,60800164,"PHL - stratum 08: REGION 7",24.79,379.0458,375.4862,423.7242
"155","Philippines",60800048,60800165,"PHL - stratum 13: REGION 12",6.42,325.6879,320.6676,288.231
"156","Philippines",60800175,60800166,"PHL - stratum 14: NCR",10.33,407.2921,407.9346,424.1216
"157","Philippines",60800186,60800167,"PHL - stratum 12: REGION 11",14.1,338.4231,288.0795,318.294
"158","Philippines",60800163,60800168,"PHL - stratum 03: REGION 3",20.35,349.852,316.6422,344.6442
"159","Philippines",60800161,60800169,"PHL - stratum 09: REGION 8",7.55,390.5958,412.6644,396.1714
"160","Philippines",60800165,60800170,"PHL - stratum 10: REGION 9",4.83,334.1406,284.3951,283.0013
"161","Philippines",60800177,60800171,"PHL - stratum 03: REGION 3",20.39,415.2261,426.0432,399.3644
"162","Philippines",60800155,60800172,"PHL - stratum 02: REGION 2",14.13,326.4485,339.1456,326.3565
"163","Philippines",60800060,60800173,"PHL - stratum 09: REGION 8",6.25,302.4232,317.9417,270.2542
"164","Philippines",60800163,60800175,"PHL - stratum 03: REGION 3",9.51,345.203,309.4989,290.3618
"165","Philippines",60800053,60800176,"PHL - stratum 04: REGION 4A",42.57,410.5606,443.8239,450.1477
"166","Philippines",60800168,60800177,"PHL - stratum 13: REGION 12",2.13,255.0849,280.2338,310.9093
"167","Philippines",60800003,60800178,"PHL - stratum 04: REGION 4A",25.72,416.9777,403.7019,384.9358
"168","Philippines",60800090,60800179,"PHL - stratum 03: REGION 3",43.57,541.6984,614.0443,524.1404
"169","Philippines",60800024,60800180,"PHL - stratum 01: REGION 1",5.11,290.3997,313.5611,322.8219
"170","Philippines",60800138,60800181,"PHL - stratum 03: REGION 3",13.09,315.8313,314.5633,301.4167
"171","Philippines",60800012,60800182,"PHL - stratum 14: NCR",43.69,476.7516,488.9102,490.2819
"172","Philippines",60800108,60800183,"PHL - stratum 04: REGION 4A",36.74,453.3092,511.8474,493.3197
"173","Philippines",60800062,60800184,"PHL - stratum 04: REGION 4A",17.2,357.9191,379.162,355.1432
"174","Philippines",60800118,60800185,"PHL - stratum 07: REGION 6",6.12,321.8407,290.6549,318.0483
"175","Philippines",60800009,60800187,"PHL - stratum 06: REGION 5",1.8,270.6602,259.7365,315.6852
"176","Philippines",60800017,60800188,"PHL - stratum 01: REGION 1",24.83,401.4522,423.873,425.3989
"177","Philippines",60800061,60800189,"PHL - stratum 01: REGION 1",14,326.1341,309.1083,353.9254
"178","Philippines",60800151,60800190,"PHL - stratum 15: CAR",40.96,406.4194,421.4273,396.5189
"179","Philippines",60800127,60800191,"PHL - stratum 01: REGION 1",7.94,316.4434,290.7412,305.8641
"180","Philippines",60800087,60800192,"PHL - stratum 09: REGION 8",6.91,291.6907,265.5924,298.4934
"181","Philippines",60800186,60800193,"PHL - stratum 12: REGION 11",25.83,431.2862,396.021,459.5214
"182","Philippines",60800176,60800194,"PHL - stratum 09: REGION 8",12.61,336.6124,370.0235,350.0269
"183","Philippines",60800072,60800195,"PHL - stratum 10: REGION 9",8.38,329.7634,301.8427,324.3562
"184","Philippines",60800050,60800196,"PHL - stratum 14: NCR",24.59,438.1991,459.3631,442.7835
"185","Philippines",60800093,60800197,"PHL - stratum 14: NCR",20.05,406.3427,418.4298,471.2554
"186","Philippines",60800028,60800198,"PHL - stratum 08: REGION 7",3.06,298.2736,296.2139,322.3254
"187","Philippines",60800109,60800199,"PHL - stratum 09: REGION 8",8.68,330.6657,326.5002,389.9224
"188","Philippines",60800154,60800200,"PHL - stratum 07: REGION 6",5.8,317.3525,314.1624,308.329
"189","Philippines",60800078,60800201,"PHL - stratum 04: REGION 4A",18.34,355.9555,391.772,378.0587
"190","Philippines",60800051,60800202,"PHL - stratum 09: REGION 8",4.03,303.7683,279.1771,293.5877
"191","Philippines",60800034,60800203,"PHL - stratum 07: REGION 6",13.73,382.2403,331.1465,347.0331
"192","Philippines",60800172,60800204,"PHL - stratum 07: REGION 6",3.33,331.028,310.2734,318.4349
"193","Philippines",60800016,60800205,"PHL - stratum 07: REGION 6",4.92,330.1113,300.5172,304.8014
"194","Philippines",60800081,60800206,"PHL - stratum 05: REGION 4B",36.95,549.1546,570.6208,572.6078
"195","Philippines",60800030,60800207,"PHL - stratum 08: REGION 7",2.49,274.6603,237.1741,275.8468
"196","Philippines",60800163,60800208,"PHL - stratum 03: REGION 3",2.55,350.39,314.4679,338.4048
"197","Philippines",60800117,60800209,"PHL - stratum 12: REGION 11",2.9,346.0079,327.4051,322.3283
"198","Philippines",60800102,60800210,"PHL - stratum 08: REGION 7",34.11,411.7309,399.2856,393.2986
"199","Philippines",60800139,60800212,"PHL - stratum 08: REGION 7",36.3,406.93,453.1791,442.1474
"200","Philippines",60800133,60800213,"PHL - stratum 04: REGION 4A",29.3,425.0809,466.3005,424.3614
"201","Philippines",60800047,60800214,"PHL - stratum 11: REGION 10",20.35,406.9786,434.0243,415.9066
"202","Philippines",60800160,60800215,"PHL - stratum 02: REGION 2",3.83,309.4795,300.1433,285.1608
"203","Philippines",60800085,60800216,"PHL - stratum 13: REGION 12",6.73,279.5737,276.4069,267.9259
"204","Philippines",60800082,60800217,"PHL - stratum 08: REGION 7",1.02,244.1163,265.6004,261.3117
"205","Philippines",60800005,60800218,"PHL - stratum 08: REGION 7",16.7,397.0127,447.7322,416.4271
"206","Philippines",60800127,60800219,"PHL - stratum 01: REGION 1",0.51,288.7138,226.3058,274.7019
"207","Philippines",60800167,60800220,"PHL - stratum 11: REGION 10",4.02,315.4398,283.3125,306.2193
"208","Philippines",60800158,60800221,"PHL - stratum 10: REGION 9",40.57,404.5177,366.9961,400.9168
"209","Philippines",60800069,60800222,"PHL - stratum 08: REGION 7",2.15,279.3681,256.0886,295.9378
"210","Philippines",60800037,60800223,"PHL - stratum 10: REGION 9",5.09,322.7698,303.6482,340.6328
"211","Philippines",60800096,60800224,"PHL - stratum 05: REGION 4B",20.57,427.8882,442.6228,473.8296
"212","Philippines",60800019,60800226,"PHL - stratum 16: CARAGA",15.1,388.5553,356.9803,348.3382
"213","Philippines",60800039,60800227,"PHL - stratum 03: REGION 3",4.23,311.2446,279.2064,306.1005
"214","Philippines",60800025,60800228,"PHL - stratum 02: REGION 2",37.12,474.5528,493.7112,527.1569
"215","Philippines",60800045,60800229,"PHL - stratum 03: REGION 3",10.35,307.4284,249.9124,261.3061
"216","Philippines",60800062,60800230,"PHL - stratum 04: REGION 4A",29.82,332.4115,296.3294,319.0324
"217","Philippines",60800054,60800231,"PHL - stratum 04: REGION 4A",2.95,304.1519,283.0538,285.9141
"218","Philippines",60800157,60800232,"PHL - stratum 14: NCR",26.92,369.2823,404.5521,385.2489
"219","Philippines",60800048,60800233,"PHL - stratum 13: REGION 12",1.91,277.6895,252.5743,298.961
"220","Philippines",60800163,60800234,"PHL - stratum 03: REGION 3",46.39,448.2917,518.7462,501.3561
"221","Philippines",60800092,60800235,"PHL - stratum 04: REGION 4A",3.64,347.6833,284.257,276.2732
"222","Philippines",60800162,60800236,"PHL - stratum 02: REGION 2",9.61,358.1815,357.8635,378.4917
"223","Philippines",60800136,60800237,"PHL - stratum 02: REGION 2",16.14,382.2221,388.8109,412.6418
"224","Philippines",60800113,60800238,"PHL - stratum 04: REGION 4A",3.85,287.4747,259.7646,286.3948
"225","Philippines",60800067,60800239,"PHL - stratum 08: REGION 7",7.24,339.6014,315.2097,336.4432
"226","Philippines",60800128,60800240,"PHL - stratum 03: REGION 3",31.96,397.4469,418.7059,449.0143
"227","Philippines",60800084,60800241,"PHL - stratum 03: REGION 3",29.87,420.258,418.6769,404.9457
"228","Philippines",60800144,60800242,"PHL - stratum 06: REGION 5",22.7,462.8201,571.2251,534.418
"229","Philippines",60800036,60800243,"PHL - stratum 04: REGION 4A",14.76,426.1637,392.2203,345.0999
"230","Philippines",60800113,60800244,"PHL - stratum 04: REGION 4A",30.55,480.5269,488.5371,488.8023
"231","Philippines",60800109,60800245,"PHL - stratum 09: REGION 8",2.14,318.8036,286.9769,342.8203
"232","Philippines",60800035,60800246,"PHL - stratum 09: REGION 8",16.41,421.9859,411.0907,393.3548
"233","Philippines",60800186,60800247,"PHL - stratum 12: REGION 11",0.66,292.2232,250.2249,336.3385
"234","Philippines",60800175,60800248,"PHL - stratum 14: NCR",19.84,427.3999,393.8576,379.553
"235","Philippines",60800042,60800250,"PHL - stratum 10: REGION 9",3.26,273.8221,205.751,259.8119
"236","Philippines",60800042,60800251,"PHL - stratum 10: REGION 9",2.46,280.517,252.5601,282.2991
"237","Philippines",60800088,60800252,"PHL - stratum 08: REGION 7",31.56,348.6945,369.3134,374.5008
"238","Philippines",60800009,60800253,"PHL - stratum 06: REGION 5",5.23,313.6009,260.9443,285.0318
"239","Philippines",60800087,60800254,"PHL - stratum 09: REGION 8",2.02,293.6978,252.012,313.6541
"240","Philippines",60800070,60800255,"PHL - stratum 04: REGION 4A",4.2,301.362,229.3118,275.3424
"241","Philippines",60800137,60800256,"PHL - stratum 03: REGION 3",4.59,310.9846,287.0395,304.6416
"242","Philippines",60800154,60800257,"PHL - stratum 07: REGION 6",7.31,319.8182,299.5693,286.6827
"243","Philippines",60800140,60800258,"PHL - stratum 04: REGION 4A",39.34,438.465,451.6293,453.2809
"244","Philippines",60800131,60800259,"PHL - stratum 04: REGION 4A",7.24,317.8253,279.4186,315.6697
"245","Philippines",60800117,60800260,"PHL - stratum 12: REGION 11",21.1,368.8681,379.8848,315.1356
"246","Philippines",60800114,60800261,"PHL - stratum 03: REGION 3",0.54,274.5915,220.8905,227.3037
"247","Philippines",60800114,60800262,"PHL - stratum 03: REGION 3",27.9,425.6612,426.0599,464.1024
"248","Philippines",60800027,60800263,"PHL - stratum 07: REGION 6",2.21,266.8677,182.6106,252.6961
"249","Philippines",60800001,60800264,"PHL - stratum 11: REGION 10",4.44,309.2884,325.6817,283.887
"250","Philippines",60800037,60800265,"PHL - stratum 10: REGION 9",29.33,399.2672,445.9326,421.2646
"251","Philippines",60800139,60800266,"PHL - stratum 08: REGION 7",5.61,309.9758,263.9726,310.3938
"252","Philippines",60800083,60800267,"PHL - stratum 07: REGION 6",12.24,379.9997,381.8321,403.5671
"253","Philippines",60800025,60800268,"PHL - stratum 02: REGION 2",5.96,295.5336,254.6487,292.0936
"254","Philippines",60800176,60800269,"PHL - stratum 09: REGION 8",2.17,309.0462,295.9043,324.9299
"255","Philippines",60800087,60800270,"PHL - stratum 09: REGION 8",28.01,401.7804,401.3135,374.8207
"256","Philippines",60800015,60800271,"PHL - stratum 08: REGION 7",12.99,344.7891,361.6914,299.522
"257","Philippines",60800004,60800272,"PHL - stratum 16: CARAGA",14.89,364.2064,315.6154,343.4538
"258","Philippines",60800121,60800273,"PHL - stratum 08: REGION 7",13.41,396.2531,380.2277,396.812
"259","Philippines",60800003,60800274,"PHL - stratum 04: REGION 4A",13.2,387.6392,374.3759,355.9902
"260","Philippines",60800188,60800275,"PHL - stratum 14: NCR",34.27,361.5994,374.1576,381.1315
"261","Philippines",60800164,60800276,"PHL - stratum 14: NCR",18.33,386.2721,415.4886,404.1988
"262","Philippines",60800034,60800277,"PHL - stratum 07: REGION 6",4,371.1408,344.0208,352.6751
"263","Philippines",60800181,60800278,"PHL - stratum 06: REGION 5",7.55,352.089,288.8108,303.0972
"264","Philippines",60800029,60800279,"PHL - stratum 04: REGION 4A",38.42,508.7758,513.5843,501.2493
"265","Philippines",60800132,60800280,"PHL - stratum 14: NCR",7.13,348.4961,367.0833,310.4509
"266","Philippines",60800032,60800281,"PHL - stratum 03: REGION 3",29.33,466.1597,510.8809,492.0173
"267","Philippines",60800092,60800282,"PHL - stratum 04: REGION 4A",20.92,422.9059,428.3467,434.1688
"268","Philippines",60800176,60800283,"PHL - stratum 09: REGION 8",21.62,367.8612,357.7611,335.727
"269","Philippines",60800157,60800284,"PHL - stratum 14: NCR",15.99,347.1012,350.293,351.7285
