"","CNT","CNTSCHID","CNTSTUID","STRATUM","MeanCrtScore","MeanMthScore","MeanReadScore","MeanSciScore"
"2172","Philippines",60800155,60802287,"PHL - stratum 02: REGION 2",7.1,318.288,288.1871,333.9156
"2173","Philippines",60800020,60802288,"PHL - stratum 12: REGION 11",17.99,377.9798,351.9502,383.6844
"2174","Philippines",60800010,60802289,"PHL - stratum 07: REGION 6",4.35,309.5101,277.1794,295.9219
"2175","Philippines",60800037,60802290,"PHL - stratum 10: REGION 9",4.91,286.9479,247.5526,327.7686
"2176","Philippines",60800048,60802291,"PHL - stratum 13: REGION 12",11.27,325.3701,337.2238,361.0394
"2177","Philippines",60800150,60802292,"PHL - stratum 05: REGION 4B",2.31,319.2693,331.7921,308.6594
"2178","Philippines",60800061,60802293,"PHL - stratum 01: REGION 1",8.97,314.6031,299.6538,302.9558
"2179","Philippines",60800003,60802294,"PHL - stratum 04: REGION 4A",12.07,364.6125,332.6764,316.4017
"2180","Philippines",60800103,60802295,"PHL - stratum 12: REGION 11",25.52,400.6501,433.4862,420.3968
"2181","Philippines",60800088,60802296,"PHL - stratum 08: REGION 7",17.7,302.6243,336.2741,321.9607
"2182","Philippines",60800138,60802297,"PHL - stratum 03: REGION 3",27.03,392.9205,405.1748,359.6994
"2183","Philippines",60800012,60802298,"PHL - stratum 14: NCR",30.6,426.6869,466.4672,426.1109
"2184","Philippines",60800104,60802299,"PHL - stratum 10: REGION 9",2.66,290.7087,258.2392,304.3238
"2185","Philippines",60800077,60802300,"PHL - stratum 11: REGION 10",5.69,285.6595,281.6119,332.7689
"2186","Philippines",60800027,60802301,"PHL - stratum 07: REGION 6",5.53,320.5768,298.8863,374.2233
"2187","Philippines",60800030,60802302,"PHL - stratum 08: REGION 7",0.88,317.2445,229.9556,257.8313
"2188","Philippines",60800107,60802303,"PHL - stratum 03: REGION 3",17.63,355.249,322.2107,378.8184
"2189","Philippines",60800028,60802304,"PHL - stratum 08: REGION 7",25.63,403.7446,400.6415,402.7844
"2190","Philippines",60800020,60802305,"PHL - stratum 12: REGION 11",30.96,362.6355,389.644,413.2161
"2191","Philippines",60800126,60802306,"PHL - stratum 06: REGION 5",7.52,359.6706,338.9842,335.1567
